index,totalseconds,gender,bornyear,edu,anchor,Q1,Q1_1,Q1_2,Q1_3,Q1_4,Q2,Q2_1,Q2_2,Q2_3,Q3,Q3_1,Q3_2,Q3_3,Q3_4,Q4,Q4_1,Q4_2,Q4_3,Q4_4,Q5,Q5_1,Q5_2,Q5_3,Q5_4,Q6,Q6_1,Q6_2,Q6_3,Q6_4,wrong,wrong2
1,243,1,1992,5,1,1,2,0,1,1,1,2,0,0,1,1,2,2,-2,1,0,2,2,1,1,2,1,1,2,1,2,1,2,1, ,0
5,247,1,1985,5,1,1,1,2,1,0,1,1,2,0,1,1,2,1,-2,1,1,2,1,0,1,0,1,1,2,0,2,2,1,0, ,0
6,267,0,1993,5,1,0,1,0,-1,2,0,-1,1,0,0,0,2,-1,-2,0,2,0,-1,1,0,1,-1,1,-1,1,2,0,1,2, ,0
7,227,1,1992,6,1,1,1,1,-1,0,1,0,1,-1,1,0,1,1,-2,1,1,0,1,0,0,-1,1,-1,0,0,2,1,1,0, ,0
8,376,0,1999,5,1,1,2,0,-1,1,0,2,-1,-1,0,1,2,-1,-2,0,2,0,1,1,0,1,1,-1,-2,1,2,1,1,1, ,0
10,429,1,1990,5,1,0,2,1,-1,-2,0,1,0,-1,0,0,2,0,-2,0,2,-2,1,1,0,1,2,-1,-2,0,2,1,2,1, ,0
13,217,0,1974,5,1,0,2,2,1,1,0,1,2,1,1,1,2,2,-2,0,2,1,2,2,0,1,2,1,2,0,2,2,2,1, ,0
15,260,0,1996,5,1,1,1,1,0,-1,0,-1,0,1,0,0,2,-1,-2,0,0,2,2,0,0,-1,2,1,2,0,1,1,2,0, ,0
17,328,1,1980,5,1,0,2,0,-1,0,1,-1,2,-2,1,1,2,0,-2,0,1,2,1,0,1,0,2,1,-1,1,1,2,1,-1, ,0
22,391,0,1988,5,1,0,1,1,0,0,1,1,0,1,1,1,2,0,-2,0,2,1,1,1,0,0,1,0,0,0,2,1,1,0, ,0
24,526,1,1991,6,1,0,2,1,0,1,1,2,2,0,0,1,2,0,-2,1,1,2,0,1,0,1,1,0,2,1,1,0,2,1, ,0
25,365,1,1991,5,1,0,1,1,2,1,1,2,0,0,0,2,1,1,-2,0,0,1,2,2,1,1,0,2,2,1,1,2,2,1, ,0
26,275,0,1992,5,1,1,2,0,1,1,1,2,0,-1,0,-1,2,-1,-2,1,2,0,0,-1,1,0,1,-2,0,0,2,2,1,1, ,0
27,618,1,1998,5,1,1,2,1,0,1,0,0,-1,-2,1,-1,2,0,-2,0,2,-1,0,1,1,-1,1,-2,2,0,2,0,1,0, ,0
29,346,0,1985,5,1,0,2,0,-1,0,1,0,2,-1,0,1,2,0,-2,1,2,1,0,-2,0,-1,0,2,0,1,2,1,1,-1, ,0
30,350,1,1984,5,1,1,2,0,1,-1,0,2,0,-1,1,1,2,1,-2,0,2,1,0,1,1,2,1,1,2,0,2,1,2,2, ,0
32,379,1,1990,5,1,1,2,1,0,0,1,2,1,-1,0,1,2,1,-2,1,2,0,1,0,1,0,0,-1,1,0,2,1,1,2, ,0
33,320,0,1993,5,1,0,2,0,-1,0,0,1,-1,-1,0,0,2,1,-2,1,2,1,1,0,1,0,1,0,-1,0,2,1,1,1, ,0
35,458,1,1983,5,1,0,2,1,0,-1,0,2,0,1,1,0,2,1,-2,0,2,1,2,1,0,1,2,1,2,1,2,1,2,1, ,0
39,498,0,1996,5,1,1,1,1,-1,0,1,-1,1,-1,1,0,2,1,-2,0,1,0,0,2,0,0,2,-1,-1,1,2,1,1,0, ,0
40,440,0,1993,5,1,1,1,1,0,1,1,1,0,-1,1,1,1,0,-2,0,1,0,0,1,0,1,1,1,2,0,1,1,1,2, ,0
41,881,0,1980,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0
42,344,0,1990,5,1,0,2,2,0,1,0,1,0,0,0,1,2,1,-2,1,1,2,2,1,1,2,2,1,0,1,2,2,1,2, ,0
43,806,1,1968,3,1,1,2,1,-1,-2,0,1,1,2,0,1,2,1,-2,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2, ,0
46,828,0,1982,5,1,0,2,1,-1,-1,0,2,0,-1,1,1,2,1,-2,1,1,2,1,2,0,-1,0,2,1,1,2,1,2,1, ,0
47,375,0,1998,5,1,0,2,0,1,2,0,0,2,1,0,0,2,1,-2,1,1,2,2,0,1,2,-1,1,1,1,2,1,2,2, ,0
52,245,0,2001,5,1,0,1,0,1,0,1,1,-1,0,0,1,1,0,-2,0,1,0,1,1,1,1,1,-1,1,0,1,1,1,0, ,0
53,207,1,1994,5,1,1,2,1,-1,0,1,2,1,-2,1,1,2,2,-2,0,2,1,1,2,0,0,2,1,2,0,2,2,2,2, ,0
54,239,0,1995,5,1,0,0,2,-1,0,1,1,0,0,0,1,1,0,-2,0,2,0,0,0,1,0,1,-1,-1,1,2,1,1,0, ,0
55,244,0,1998,3,1,1,2,1,0,1,1,2,1,-1,1,1,2,0,-2,0,1,2,1,1,0,1,1,1,-2,0,2,1,1,1, ,0
56,306,0,1995,5,1,1,2,0,-1,1,0,1,0,-1,1,0,2,1,-2,1,1,2,-1,0,0,1,0,2,0,1,2,1,0,0, ,0
58,220,0,1999,5,1,0,2,1,1,1,1,1,2,0,1,2,2,1,-2,0,1,2,1,1,0,1,2,1,0,0,2,1,1,2, ,0
61,239,1,1986,5,1,1,1,1,0,0,0,2,0,0,0,1,2,1,-2,1,1,2,1,1,1,0,2,0,1,0,2,2,1,0, ,0
62,242,0,1987,5,1,0,1,1,1,1,1,1,1,1,0,1,1,1,-2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,0
65,442,0,1981,5,1,0,1,2,0,1,1,2,1,0,0,1,2,1,-2,1,1,0,2,1,1,2,1,0,1,0,2,2,2,2, ,0
